0,1,2,3
0.0,1.0,2007-04-27,000049
5.0,0.0,1999-06-10,000049
5.0,0.0,1997-03-10,000049
1.6,0.4,1995-09-13,000049
0.0,0.7,2022-05-27,000050
0.0,0.7,2021-07-21,000050
0.0,0.8,2020-05-28,000050
0.0,0.7,2019-05-28,000050
0.0,0.7,2018-04-03,000050
0.0,0.6,2017-07-26,000050
0.0,0.6,2016-08-19,000050
0.0,1.0,2015-07-13,000050
0.0,1.0,2014-08-05,000050
0.0,0.6,2013-06-07,000050
5.0,0.0,2008-10-08,000050
0.0,1.0,2008-06-20,000050
0.0,2.0,2007-06-25,000050
2.5,0.5,2006-06-09,000050
0.0,1.0,2005-06-07,000050
10.0,0.0,2004-05-28,000050
0.0,1.5,2002-08-19,000050
0.0,1.7514,2001-07-06,000050
0.0,1.0,2000-07-21,000050
0.0,1.9,1999-07-09,000050
0.0,1.57143,1998-07-07,000050
1.0,0.8,1997-07-09,000050
1.0,1.9,1996-06-10,000050
0.0,0.5,2022-05-23,000055
0.0,0.5,2020-06-04,000055
0.0,2.0,2019-03-11,000055
0.0,1.5,2018-06-04,000055
5.0,3.5,2017-05-12,000055
0.0,1.0,2016-05-27,000055
0.0,0.3,2015-06-05,000055
0.0,0.3,2014-04-15,000055
0.0,0.3,2013-06-13,000055
5.0,0.0,2011-04-26,000055
0.7,0.0,2010-04-06,000055
1.0,0.0,2008-06-19,000055
1.0,0.0,2007-05-11,000055
6.8324,0.0,2006-04-10,000055
0.0,0.3,2004-05-31,000055
0.0,0.7,2003-07-04,000055
0.0,1.0,2002-06-19,000055
0.0,1.2,2001-05-18,000055
0.0,1.8,1999-05-20,000055
2.0,0.0,1998-11-20,000055
0.0,2.5,1998-06-29,000055
0.0,1.5,1997-05-27,000055
4.0,0.0,1996-10-31,000055
0.0,0.100057,2019-07-09,000056
0.0,0.4,2018-08-15,000056
10.0,0.0,2016-07-08,000056
2.0,0.0,2014-08-08,000056
0.0,0.5,2000-07-24,000056
2.0,0.0,1998-07-27,000056
2.0,0.0,1997-07-28,000056
0.0,0.1,2022-05-25,000058
0.0,0.1,2021-07-08,000058
0.0,0.3,2020-07-06,000058
0.0,0.35,2019-07-11,000058
0.0,0.55,2018-06-15,000058
0.0,0.3,2017-08-17,000058
0.0,0.3,2016-06-16,000058
0.0,0.2,2009-06-23,000058
0.0,0.25,2008-06-16,000058
4.6445,0.0,2006-06-14,000058
0.0,1.12,2004-07-20,000058
0.9227,0.6459,2000-07-11,000058
3.557,0.0,1998-08-19,000058
3.0,0.0,1997-07-08,000058
0.0,0.79,2021-06-11,000059
0.0,2.35,2020-05-19,000059
0.0,2.5,2019-06-26,000059
0.0,2.24,2017-06-16,000059
0.0,1.0,2012-04-26,000059
0.0,0.4,2010-04-29,000059
0.0,0.32,2008-12-12,000059
0.0,0.64,2007-06-01,000059
0.0,4.0,2000-05-15,000059
0.0,1.1,1998-06-24,000059
0.0,0.947289,2022-06-14,000060
0.0,0.839939,2021-06-18,000060
0.0,0.72,2020-05-22,000060
0.0,0.8,2019-05-16,000060
5.0,2.5,2018-05-16,000060
0.0,0.3,2017-11-24,000060
0.0,0.3,2017-05-11,000060
0.0,0.1,2016-06-16,000060
0.0,0.3,2015-06-10,000060
0.0,0.3,2014-06-19,000060
0.0,0.45,2013-08-28,000060
0.0,0.72,2012-07-20,000060
3.0,0.2,2011-05-06,000060
5.5,0.28,2010-05-05,000060
0.0,0.95,2009-07-14,000060
4.0,3.46,2008-06-06,000060
1.0,6.8,2007-05-22,000060
4.0,1.0,2006-04-20,000060
0.0,1.25,2005-05-19,000060
0.0,1.0,2004-06-01,000060
0.0,0.6,2003-07-09,000060
0.0,2.0,2001-06-14,000060
5.0,1.0,2000-05-26,000060
